"row ID","G-Alogliptin","G-Linagliptin","G-Saxagliptin","G-Sitagliptin","G-Tenaligliptin","G-Vildagliptin","N1-Alclofenac","N1-Celecoxib","N1-Flurbiprofen","N1-Ibuprofen","N1-Indomethacin","N1-Meloxicam","N1-Nimesulide","N2-Diclofenac","N2-Isoxicam","N2-Naproxen","S-Atorvastatin","S-Cerivastatin","S-Fluvastatin","S-Mevastatin","S-Rosuvastatin","S-Simvastatin"
"G-Alogliptin",1,0.2923146188259125,0.7183145880699158,0.20501472055912018,0.21010571718215942,0.5136523842811584,0.5435124635696411,0.3961910307407379,0.5256181955337524,0.6079367995262146,0.3092415928840637,0.3893596827983856,0.7689874172210693,0.7179791331291199,0.41931918263435364,0.581943929195404,0.24441680312156677,0.40631741285324097,0.43590670824050903,0.43608415126800537,0.3449641466140747,0.40413951873779297
"G-Linagliptin",0.2923146188259125,1,0.29837357997894287,0.37727734446525574,0.40415793657302856,0.39642611145973206,0.3628034293651581,0.5154209136962891,0.3905107378959656,0.33782199025154114,0.7275291681289673,0.49205219745635986,0.3150455951690674,0.2845991849899292,0.46609869599342346,0.3505832254886627,0.5635873675346375,0.49918127059936523,0.4656326174736023,0.4549826681613922,0.6455490589141846,0.4907025098800659
"G-Saxagliptin",0.7183145880699158,0.29837357997894287,1,0.2098774015903473,0.2140236496925354,0.542512834072113,0.5967543721199036,0.4016816020011902,0.5562574863433838,0.6852490305900574,0.3147279918193817,0.3988019526004791,0.7571947574615479,0.7820610404014587,0.43367108702659607,0.6432744264602661,0.24870619177818298,0.4193972945213318,0.4423385560512543,0.443742573261261,0.350911021232605,0.4100392758846283
"G-Sitagliptin",0.20501472055912018,0.37727734446525574,0.2098774015903473,1,0.6683788299560547,0.24894903600215912,0.23402345180511475,0.2972973883152008,0.24853675067424774,0.22462144494056702,0.36202824115753174,0.28206726908683777,0.21661244332790375,0.20177115499973297,0.2733154594898224,0.23069527745246887,0.46748247742652893,0.28827425837516785,0.2787347137928009,0.2730218172073364,0.3326505720615387,0.2819753587245941
"G-Tenaligliptin",0.21010571718215942,0.40415793657302856,0.2140236496925354,0.6683788299560547,1,0.25522321462631226,0.24040064215660095,0.30703869462013245,0.2539430260658264,0.23065422475337982,0.3726053237915039,0.2942342758178711,0.22173818945884705,0.2062113881111145,0.2845294177532196,0.23603197932243347,0.5117167830467224,0.29755139350891113,0.2873988151550293,0.28277766704559326,0.3439347445964813,0.2933673560619354
"G-Vildagliptin",0.5136523842811584,0.39642611145973206,0.542512834072113,0.24894903600215912,0.25522321462631226,1,0.6987423300743103,0.5683037638664246,0.7783528566360474,0.6630369424819946,0.4238991439342499,0.5917028784751892,0.5693961381912231,0.4902961850166321,0.6743313074111938,0.7001523971557617,0.31197237968444824,0.6160774827003479,0.6542463302612305,0.6768558621406555,0.4794490933418274,0.6208910346031189
"N1-Alclofenac",0.5435124635696411,0.3628034293651581,0.5967543721199036,0.23402345180511475,0.24040064215660095,0.6987423300743103,1,0.5008869767189026,0.7606210708618164,0.8006131052970886,0.3911668062210083,0.5351359248161316,0.6225259304046631,0.5477771759033203,0.5945253968238831,0.8649638891220093,0.29138872027397156,0.5376319289207458,0.5495861172676086,0.554341197013855,0.43055880069732666,0.5297806859016418
"N1-Celecoxib",0.3961910307407379,0.5154209136962891,0.4016816020011902,0.2972973883152008,0.30703869462013245,0.5683037638664246,0.5008869767189026,1,0.5630641579627991,0.460323691368103,0.5767061710357666,0.7132319808006287,0.443871408700943,0.38296055793762207,0.7296371459960938,0.48288190364837646,0.38585618138313293,0.7281720042228699,0.7503107786178589,0.6831278800964355,0.6969415545463562,0.669445812702179
"N1-Flurbiprofen",0.5256181955337524,0.3905107378959656,0.5562574863433838,0.24853675067424774,0.2539430260658264,0.7783528566360474,0.7606210708618164,0.5630641579627991,1,0.6991187930107117,0.4155068099498749,0.5780720114707947,0.6000428199768066,0.5014949440956116,0.654333233833313,0.7446480393409729,0.30767709016799927,0.5940142273902893,0.6097747683525085,0.6196276545524597,0.47571447491645813,0.5727747678756714
"N1-Ibuprofen",0.6079367995262146,0.33782199025154114,0.6852490305900574,0.22462144494056702,0.23065422475337982,0.6630369424819946,0.8006131052970886,0.460323691368103,0.6991187930107117,1,0.3605786859989166,0.47670722007751465,0.7029277086257935,0.6103578805923462,0.5273959636688232,0.8362910151481628,0.27604246139526367,0.49117493629455566,0.5151351094245911,0.5198824405670166,0.400241881608963,0.4871214032173157
"N1-Indomethacin",0.3092415928840637,0.7275291681289673,0.3147279918193817,0.36202824115753174,0.3726053237915039,0.4238991439342499,0.3911668062210083,0.5767061710357666,0.4155068099498749,0.3605786859989166,1,0.55171138048172,0.33479639887809753,0.30038315057754517,0.517207682132721,0.37310418486595154,0.5285559296607971,0.5548248291015625,0.5117287039756775,0.5055373907089233,0.7288298010826111,0.5490280985832214
"N1-Meloxicam",0.3893596827983856,0.49205219745635986,0.3988019526004791,0.28206726908683777,0.2942342758178711,0.5917028784751892,0.5351359248161316,0.7132319808006287,0.5780720114707947,0.47670722007751465,0.55171138048172,1,0.4307575821876526,0.37317776679992676,0.82844078540802,0.4981754720211029,0.3699285387992859,0.6232031583786011,0.6136926412582397,0.632862389087677,0.6225666999816895,0.6398808360099792
"N1-Nimesulide",0.7689874172210693,0.3150455951690674,0.7571947574615479,0.21661244332790375,0.22173818945884705,0.5693961381912231,0.6225259304046631,0.443871408700943,0.6000428199768066,0.7029277086257935,0.33479639887809753,0.4307575821876526,1,0.6959501504898071,0.46772894263267517,0.6734673380851746,0.2601088583469391,0.456489235162735,0.49152782559394836,0.4715026021003723,0.3778075575828552,0.4392482340335846
"N2-Diclofenac",0.7179791331291199,0.2845991849899292,0.7820610404014587,0.20177115499973297,0.2062113881111145,0.4902961850166321,0.5477771759033203,0.38296055793762207,0.5014949440956116,0.6103578805923462,0.30038315057754517,0.37317776679992676,0.6959501504898071,1,0.40353935956954956,0.5874528884887695,0.23899924755096436,0.3933568298816681,0.41598448157310486,0.41224589943885803,0.33484914898872375,0.3829996585845947
"N2-Isoxicam",0.41931918263435364,0.46609869599342346,0.43367108702659607,0.2733154594898224,0.2845294177532196,0.6743313074111938,0.5945253968238831,0.7296371459960938,0.654333233833313,0.5273959636688232,0.517207682132721,0.82844078540802,0.46772894263267517,0.40353935956954956,1,0.5537988543510437,0.3550194501876831,0.6623422503471375,0.6668098568916321,0.6878548264503479,0.5872756838798523,0.6734636425971985
"N2-Naproxen",0.581943929195404,0.3505832254886627,0.6432744264602661,0.23069527745246887,0.23603197932243347,0.7001523971557617,0.8649638891220093,0.48288190364837646,0.7446480393409729,0.8362910151481628,0.37310418486595154,0.4981754720211029,0.6734673380851746,0.5874528884887695,0.5537988543510437,1,0.28280404210090637,0.5135688781738281,0.5435510277748108,0.5430520176887512,0.4171873927116394,0.5036059021949768
"S-Atorvastatin",0.24441680312156677,0.5635873675346375,0.24870619177818298,0.46748247742652893,0.5117167830467224,0.31197237968444824,0.29138872027397156,0.38585618138313293,0.30767709016799927,0.27604246139526367,0.5285559296607971,0.3699285387992859,0.2601088583469391,0.23899924755096436,0.3550194501876831,0.28280404210090637,1,0.3761151134967804,0.3556421995162964,0.3494158685207367,0.455022394657135,0.36977043747901917
"S-Cerivastatin",0.40631741285324097,0.49918127059936523,0.4193972945213318,0.28827425837516785,0.29755139350891113,0.6160774827003479,0.5376319289207458,0.7281720042228699,0.5940142273902893,0.49117493629455566,0.5548248291015625,0.6232031583786011,0.456489235162735,0.3933568298816681,0.6623422503471375,0.5135688781738281,0.3761151134967804,1,0.8568528294563293,0.7600208520889282,0.6672510504722595,0.7964289784431458
"S-Fluvastatin",0.43590670824050903,0.4656326174736023,0.4423385560512543,0.2787347137928009,0.2873988151550293,0.6542463302612305,0.5495861172676086,0.7503107786178589,0.6097747683525085,0.5151351094245911,0.5117287039756775,0.6136926412582397,0.49152782559394836,0.41598448157310486,0.6668098568916321,0.5435510277748108,0.3556421995162964,0.8568528294563293,1,0.8319947719573975,0.6145065426826477,0.7829469442367554
"S-Mevastatin",0.43608415126800537,0.4549826681613922,0.443742573261261,0.2730218172073364,0.28277766704559326,0.6768558621406555,0.554341197013855,0.6831278800964355,0.6196276545524597,0.5198824405670166,0.5055373907089233,0.632862389087677,0.4715026021003723,0.41224589943885803,0.6878548264503479,0.5430520176887512,0.3494158685207367,0.7600208520889282,0.8319947719573975,1,0.5830141305923462,0.8437168002128601
"S-Rosuvastatin",0.3449641466140747,0.6455490589141846,0.350911021232605,0.3326505720615387,0.3439347445964813,0.4794490933418274,0.43055880069732666,0.6969415545463562,0.47571447491645813,0.400241881608963,0.7288298010826111,0.6225666999816895,0.3778075575828552,0.33484914898872375,0.5872756838798523,0.4171873927116394,0.455022394657135,0.6672510504722595,0.6145065426826477,0.5830141305923462,1,0.6160525679588318
